FLDATE,QC_modify_Date,ou,FLYPITCODE,Itemdesc,pt,dn,FLYPGRADE,grade_actual,Grade_Type,Department,BM_Line,repack,packingfor,FLYPNETWT
2025-10-03,2025-10-08,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,D,A,Firstgrade,DYEING,DYE-JET2,1,Export,12.49
2025-05-28,2025-06-02,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,WEAVING,LOOM-A1,1,Domestic,52.27
2025-04-02,2025-04-05,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Domestic,51.0
2025-04-22,2025-04-24,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,D,downgrade,CUTTING,CUT-LINE3,1,Domestic,74.21
2025-10-25,2025-10-29,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,C,D,downgrade,WEAVING,LOOM-A1,1,Export,388.06
2025-09-09,2025-09-14,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Export,387.06
2025-03-08,2025-03-12,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,B,downgrade,CUTTING,CUT-LINE3,1,Domestic,18.62
2025-10-20,2025-10-22,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Export,92.79
2025-07-19,2025-07-20,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,291.13
2025-06-03,2025-06-04,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,B,downgrade,DYEING,DYE-JET2,1,Domestic,495.49
2026-02-16,2026-02-21,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,21.31
2026-01-16,2026-01-20,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,A,Firstgrade,WEAVING,LOOM-A1,1,Domestic,73.23
2025-04-17,2025-04-18,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,13.95
2025-07-06,2025-07-10,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A1,downgrade,CUTTING,CUT-LINE3,1,Capt Packing,120.84
2025-12-08,2025-12-10,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,23.84
2025-09-21,2025-09-24,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,D,downgrade,WEAVING,LOOM-A1,1,Export,46.79
2025-05-15,2025-05-16,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,14.33
2025-11-06,2025-11-08,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,C,C,Firstgrade,WEAVING,LOOM-A1,0,Export,50.65
2025-11-19,2025-11-24,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,171.71
2025-05-02,2025-05-04,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,94.41
2025-12-20,2025-12-21,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,119.67
2025-04-01,2025-04-04,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Domestic,254.98
2025-07-19,2025-07-24,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,B,downgrade,WEAVING,LOOM-A1,1,Capt Packing,258.99
2025-10-14,2025-10-19,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,87.54
2025-12-30,2026-01-02,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,WEAVING,LOOM-A1,1,Domestic,148.11
2025-11-02,2025-11-05,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Domestic,83.48
2025-11-16,2025-11-18,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,274.77
2025-09-09,2025-09-10,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,22.03
2025-09-16,2025-09-21,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,444.12
2025-04-28,2025-04-30,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,D,D,Firstgrade,FINISHING,STEAM-01,0,Export,108.48
2025-03-05,2025-03-06,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,286.5
2025-09-13,2025-09-15,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,221.7
2026-01-09,2026-01-14,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,A,Firstgrade,FINISHING,STEAM-01,1,Export,431.9
2025-11-14,2025-11-19,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Domestic,11.03
2025-06-21,2025-06-26,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,189.39
2025-05-24,2025-05-26,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,KNITTING,KNIT-04,0,Domestic,365.85
2026-01-20,2026-01-23,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,B,downgrade,WEAVING,LOOM-A1,1,Domestic,200.06
2025-12-24,2025-12-28,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,DYEING,DYE-JET2,1,Export,584.24
2025-11-29,2025-12-03,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,234.87
2026-01-03,2026-01-05,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,C,downgrade,FINISHING,STEAM-01,1,Domestic,114.39
2025-07-21,2025-07-24,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,18.46
2025-08-22,2025-08-26,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,KNITTING,KNIT-04,1,Domestic,165.29
2025-12-04,2025-12-05,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,C,D,downgrade,WEAVING,LOOM-A1,1,Export,4.07
2025-06-18,2025-06-19,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,217.28
2025-05-04,2025-05-09,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Domestic,520.76
2025-07-23,2025-07-26,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,11.34
2025-09-15,2025-09-18,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,324.56
2026-02-17,2026-02-20,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,113.08
2026-02-10,2026-02-15,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,C,downgrade,DYEING,DYE-JET2,1,Domestic,398.52
2025-07-16,2025-07-21,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,19.92
2025-07-10,2025-07-12,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,D,D,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,489.21
2025-09-11,2025-09-12,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,365.39
2025-03-23,2025-03-27,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,C,downgrade,WEAVING,LOOM-A1,1,Domestic,523.0
2025-06-25,2025-06-28,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,379.28
2025-05-17,2025-05-22,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,WEAVING,LOOM-A1,0,Domestic,427.19
2025-06-26,2025-06-28,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,C,downgrade,CUTTING,CUT-LINE3,1,Export,479.34
2025-10-22,2025-10-23,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,C,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,148.99
2025-11-06,2025-11-08,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,D,downgrade,FINISHING,STEAM-01,1,Domestic,71.6
2025-08-06,2025-08-07,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,113.1
2025-09-19,2025-09-20,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,C,C,Firstgrade,WEAVING,LOOM-A1,0,Domestic,144.81
2025-04-18,2025-04-21,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Export,435.59
2025-06-04,2025-06-06,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,C,C,Firstgrade,KNITTING,KNIT-04,0,Export,473.85
2025-03-14,2025-03-15,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Domestic,152.67
2025-02-16,2025-02-19,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,50.48
2025-09-14,2025-09-18,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,47.79
2025-05-30,2025-06-04,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,7.11
2025-10-27,2025-10-29,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,23.72
2025-05-13,2025-05-17,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,173.56
2025-07-28,2025-07-31,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,371.46
2025-10-19,2025-10-21,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,68.34
2025-12-04,2025-12-05,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,268.19
2025-06-25,2025-06-27,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,22.16
2025-04-20,2025-04-25,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Export,6.24
2025-07-31,2025-08-05,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,B,downgrade,WEAVING,LOOM-A1,1,Export,587.17
2025-11-06,2025-11-08,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,449.41
2025-04-14,2025-04-17,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,54.6
2025-05-24,2025-05-25,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,D,downgrade,WEAVING,LOOM-A1,1,Domestic,189.05
2025-02-04,2025-02-09,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,15.39
2025-04-24,2025-04-29,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,88.5
2025-10-27,2025-11-01,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,C,downgrade,FINISHING,STEAM-01,1,Export,302.65
2025-10-17,2025-10-22,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,546.11
2025-06-24,2025-06-27,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,86.14
2025-07-24,2025-07-28,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,15.08
2025-12-15,2025-12-20,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,C,C,Firstgrade,WEAVING,LOOM-A1,0,Domestic,501.47
2025-10-19,2025-10-23,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,46.99
2025-08-06,2025-08-07,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,D,downgrade,DYEING,DYE-JET2,1,Domestic,185.83
2025-07-04,2025-07-05,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,243.93
2025-10-12,2025-10-15,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Domestic,37.12
2025-11-26,2025-11-28,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,178.36
2025-09-09,2025-09-12,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,C,downgrade,KNITTING,KNIT-04,1,Export,204.69
2025-06-08,2025-06-11,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Domestic,8.15
2025-02-25,2025-02-27,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,104.54
2025-10-16,2025-10-18,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Export,390.07
2026-02-13,2026-02-18,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,459.23
2026-02-11,2026-02-16,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,C,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,161.9
2025-08-11,2025-08-15,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,C,downgrade,CUTTING,CUT-LINE3,1,Domestic,462.16
2025-12-16,2025-12-20,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,46.11
2025-09-25,2025-09-28,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Domestic,97.18
2026-01-24,2026-01-26,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,C,downgrade,CUTTING,CUT-LINE3,1,Export,205.2
2025-04-22,2025-04-26,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,A1,Firstgrade,CUTTING,CUT-LINE3,1,Domestic,61.16
2025-10-08,2025-10-10,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,D,D,Firstgrade,CUTTING,CUT-LINE3,0,Export,575.17
2025-11-10,2025-11-13,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,86.03
2025-10-29,2025-11-01,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,152.05
2025-07-13,2025-07-18,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,D,downgrade,DYEING,DYE-JET2,1,Export,269.1
2025-12-01,2025-12-03,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,C,downgrade,DYEING,DYE-JET2,1,Capt Packing,192.18
2026-01-11,2026-01-12,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,C,downgrade,CUTTING,CUT-LINE3,1,Export,90.14
2025-09-13,2025-09-17,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,514.99
2025-10-17,2025-10-21,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,C,D,downgrade,CUTTING,CUT-LINE3,1,Export,110.18
2025-10-30,2025-11-01,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,D,D,Firstgrade,KNITTING,KNIT-04,0,Export,63.48
2025-07-28,2025-08-02,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,114.4
2025-08-08,2025-08-10,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,D,D,Firstgrade,DYEING,DYE-JET2,0,Domestic,186.6
2025-03-09,2025-03-13,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Export,88.6
2025-09-02,2025-09-03,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,4.85
2025-10-03,2025-10-08,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,22.14
2025-03-04,2025-03-05,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,14.64
2025-09-16,2025-09-19,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,D,C,Firstgrade,WEAVING,LOOM-A1,1,Export,101.63
2025-11-18,2025-11-23,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,443.97
2025-04-15,2025-04-17,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,C,downgrade,WEAVING,LOOM-A1,1,Capt Packing,12.37
2025-03-23,2025-03-25,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,319.45
2025-10-14,2025-10-17,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,WEAVING,LOOM-A1,1,Export,31.06
2025-11-06,2025-11-09,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A,Firstgrade,FINISHING,STEAM-01,1,Capt Packing,401.21
2025-07-23,2025-07-28,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,KNITTING,KNIT-04,1,Domestic,197.68
2025-11-26,2025-11-30,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,WEAVING,LOOM-A1,0,Domestic,364.44
2025-04-11,2025-04-14,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,113.23
2025-02-26,2025-03-03,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,15.37
2025-05-29,2025-05-30,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,151.53
2025-05-22,2025-05-23,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,91.36
2025-11-02,2025-11-06,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,115.51
2025-10-19,2025-10-20,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,22.26
2025-10-07,2025-10-10,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,A,Firstgrade,DYEING,DYE-JET2,1,Domestic,282.57
2025-08-20,2025-08-23,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,A1,Firstgrade,WEAVING,LOOM-A1,1,Capt Packing,91.73
2025-11-15,2025-11-20,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,A,Firstgrade,FINISHING,STEAM-01,1,Export,297.61
2025-02-12,2025-02-16,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,18.58
2025-04-22,2025-04-24,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,254.88
2025-09-08,2025-09-11,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,24.46
2025-08-24,2025-08-27,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,82.9
2025-08-14,2025-08-17,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,523.45
2025-03-18,2025-03-23,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,266.16
2025-08-08,2025-08-11,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,1,Export,182.34
2025-12-18,2025-12-23,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,273.92
2025-10-19,2025-10-20,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,104.94
2025-10-01,2025-10-06,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A1,A,Firstgrade,WEAVING,LOOM-A1,1,Export,60.91
2026-01-26,2026-01-28,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,8.62
2025-10-15,2025-10-20,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,D,D,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,110.61
2025-08-31,2025-09-03,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,WEAVING,LOOM-A1,1,Domestic,454.95
2025-08-11,2025-08-14,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Export,405.68
2026-02-09,2026-02-14,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,C,downgrade,KNITTING,KNIT-04,1,Capt Packing,34.16
2025-07-22,2025-07-24,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,42.49
2025-12-13,2025-12-14,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,16.27
2025-10-29,2025-11-01,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,C,downgrade,FINISHING,STEAM-01,1,Domestic,77.89
2025-10-12,2025-10-13,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Domestic,13.45
2025-11-29,2025-12-01,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Export,203.25
2025-07-10,2025-07-15,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,D,downgrade,FINISHING,STEAM-01,1,Domestic,444.14
2025-11-30,2025-12-05,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,151.59
2026-03-10,2026-03-14,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Domestic,319.11
2025-11-20,2025-11-25,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,79.49
2025-07-28,2025-08-02,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Export,29.32
2025-11-14,2025-11-17,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,53.41
